label,healthLabels,ingredientLines,calories,totalTime,Energy,Fat,Saturated,Carbs,Proteina
Spaghetti Soup,"['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']","['2 Tbsp vegetable oil', '2 skinless, boneless chicken breast half, cut into cubes (about 1/2 pound)', '1 medium onion, chopped (about 1/2 cup)', '1 large carrot, chopped (about 1/2 cup)', '1 stalk celery, finely chopped (about 1/2 cup)', '2 clove garlic, minced', '4 cup Swanson® Chicken Broth (Regular, Natural Goodness® or Certified Organic)', ""1 can (10 3/4 ounces) Campbell's® Condensed Tomato Soup (Regular, Healthy Request® or 25% Less Sodium)"", '1 cup water', '3 oz uncooked spaghetti, broken into 1-inch pieces', '2 Tbsp chopped fresh parsley (optional)']",1470.8269746328124,45.0,1470.8269746328124,48.437945888375005,6.499026183718749,160.48731651328126,92.91410397596876
Healthy Detox Soup recipes,"['Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']","['2 medium leeks, cut in half, cleaned well, and cut into small pieces', '4 cloves of garlic, crushed into a paste', '1 serrano pepper, half of seeds removed, thinly sliced', '4 carrots, scrubbed clean, skins on, cut into rough chunks', '4 celery stalks, cut into rough chunks', '3 small rutabagas, peeled and cut into medium dice', '3 small zucchini, diced', '8 cups water', '3 roma tomatoes, with seeds and skin, diced', '2 cups pinto beans, I used dried ones that I cooked before hand, used cooking liquids in soup', '2 bunches of kale, thinly sliced', '1 juice of 1/2 lemon', '1 juice of 1/2 lemon', 'salt', 'cracked black pepper']",2164.8782330000004,65.0,2164.8782330000004,13.18091458,2.254671336,421.67943784999994,121.62400837000001
Grandma chicken soup (Canja),"['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']","['2 1/2 cups of water', '1 chicken breast', '1/2 cup soup shape pasta (we use barilla orzo or pastina; or short-grain white rice, if you cannot find the soup pasta)', '1 teaspoon of sea salt', '1 1/2 tablespoon of extra virgin olive oil', 'Cilantro for garnish']",829.29,48.0,829.29,36.9105,7.57857,77.3565,42.72375
Harlequin Soup,"['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']","['1 recipe very green broccoli soup', '1 recipe roasted butternut squash soup', 'Fresh chives, finely sliced', '1 1/2 pounds broccoli', '2 tablespoons extra-virgin olive oil', '1 tablespoon unsalted butter', '2 tablespoons minced garlic', '1 cup (1/4-inch) diced onion', '1/2 cup (1/4-inch) diced celery', 'Gray salt and freshly ground black pepper', '2 teaspoons finely chopped fresh thyme leaves', '5 cups chicken stock or canned low-salt chicken broth', '2 cups packed spinach', '2 teaspoons freshly grated lemon zest', '1 cup heavy cream or buttermilk (if using buttermilk, cut the lemon zest in half)']",2239.34288351915,3.0,2239.34288351915,145.46102839417898,70.3997995705068,193.8905965447675,69.7068869735935
Cheats Chicken And Bean Soup,"['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']","['1 400g tin x cream of chicken soup', 'Large pinch of ground cinnamon', '1/2 tsp sumac', 'Large pinch of mild chili powder', '2-4 tbsp lemon juice (according to taste)', 'Half a tin of borlotti beans']",485.20371875000006,0.0,485.20371875000006,13.08081125,3.6386449479166667,70.94741010416666,23.76361135416667
Tortilla Soup,"['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']","['2 14- to 19-ounce cans chicken noodle soup', '1 cup frozen corn kernels', '1 teaspoon hot sauce', '2 cups tortilla chips', '1 avocado, cut into pieces']",1337.11056578125,79.0,1337.11056578125,67.1697654996875,10.2695037693875,162.1585107621875,28.9734551416875
Cajun Black Bean Soup,"['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']","['2 cans (19 ounces each) black bean soup', '1 can (14.5 ounces) diced tomatoes and green chiles', '2 cups cooked instant brown rice', '3 cups water', '1/2 cup fat-free sour cream', '1/2 cup shredded reduced-fat Cheddar cheese']",2337.734855790625,0.0,2337.7348557906253,38.53991444337501,15.065961406768752,424.36907733634376,77.92494955396874
Honeydew Melon and Mint Soup recipes,"['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']","['1 honeydew melon, ripe, peeled, seeded and cubed', '1/4 cup mint, fresh', '3 tablespoons lime juice, freshly squeezed', '1 tablespoon honey, *optional, you may choose to skip if your melon is sweet enough', '1/2 cup pineapple juice, if needed to thin out the soup']",451.59325,20.0,451.59325,1.76979875,0.44288587500000004,113.69772,6.887085000000001
Mexican Chicken Soup,"['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']","['Basic Chicken Soup', '½ lime', '1 c. fresh or frozen corn kernels', '½ c. loosely packed fresh cilantro leaves', 'Lime wedges, coarsely crushed tortilla chips, hot pepper sauce (optional)']",209.73999999999998,50.0,209.73999999999998,2.5487999999999995,0.337155,41.58965,6.4289
Pasta Soup With Potatoes And Pancetta,"['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']","['6 tablespoons olive oil', '1 large leek, washed and finely chopped', '9 ounces pancetta, diced', '1 large carrot, peeled and cut into 1/4-inch dice', '14 ounces mealy potatoes, such as russets, peeled and cut into 1/2-inch dice (2 small potatoes or 1 very large one)', '2 quarts (8 cups) hot vegetable stock (or substitute chicken, beef, or duck stock)', '3 tablespoons canned chopped tomatoes, drained, or more to taste', 'Salt and freshly ground black pepper to taste', '2 1/4 cups (9 ounces) farfalline or another soup pasta (or even spaghetti, broken into bits)', '2/3 cup freshly grated Parmesan cheese']",5014.905547702669,0.0,5014.905547702669,209.52162690802743,59.19522339237906,648.692295201484,145.30974664229808
